ds,y
1713606345.1755438,66
1713606345.1970358,66
1713606345.1999571,66
1713606345.4896753,74
1713606345.4900804,52
1713606345.5112078,74
1713606345.5112245,66
1713606345.5142314,2962
1713606345.5146801,66
1713606345.5199857,2962
1713606345.522238,66
1713606345.5321796,2962
1713606345.5391247,66
1713606345.541612,74
1713606345.544368,2962
1713606345.5560381,66
1713606345.5565567,2962
1713606345.568746,74
1713606345.5690417,2962
1713606345.5729046,66
1713606345.5812333,2962
1713606345.5877035,66
1713606345.588034,2962
1713606345.593421,66
1713606345.5936868,2962
1713606345.593846,66
1713606345.59468,2962
1713606345.6058779,66
1713606345.6066992,66
1713606345.6067064,2962
1713606345.6091042,2962
1713606345.6183355,66
1713606345.6231668,2962
1713606345.6231766,66
1713606345.6235743,2962
1713606345.6313274,66
1713606345.6372592,2962
1713606345.6372724,66
1713606345.6439092,66
1713606345.6439223,2962
1713606345.6516447,2962
1713606345.6516519,66
1713606345.6574554,66
1713606345.6574614,1514
1713606345.6574633,2962
1713606345.6660376,2962
1713606345.669313,66
1713606345.6742468,66
1713606345.6742513,2962
1713606345.6804307,2962
1713606345.6817658,66
1713606345.6911368,66
1713606345.6945212,2962
1713606345.6945293,66
1713606345.700337,66
1713606345.7003596,2962
1713606345.7091987,2962
1713606345.7092063,66
1713606345.716485,66
1713606345.7164922,2962
1713606345.723303,2962
1713606345.72331,66
1713606345.7333665,66
1713606345.733372,2962
1713606345.7376957,1514
1713606345.7391274,66
1713606345.7447462,2962
1713606345.7447536,66
1713606345.750254,2962
1713606345.7505586,66
1713606345.758824,2962
1713606345.7592385,66
1713606345.7671428,66
1713606345.767146,2962
1713606345.7732153,2962
1713606345.7732203,66
1713606345.7840269,66
1713606345.784031,1514
1713606345.7840326,2962
1713606345.7876048,2962
1713606345.7958806,66
1713606345.8009346,66
1713606345.8009396,2962
1713606345.802004,2962
1713606345.8083408,66
1713606345.8163953,2962
1713606345.8164036,66
1713606345.822218,66
1713606345.8262656,2962
1713606345.8262866,66
1713606345.830492,2962
1713606345.832023,66
1713606345.8431575,2962
1713606345.8431778,66
1713606345.8445804,1514
1713606345.8489108,66
1713606345.851609,2962
1713606345.8516243,66
1713606345.8600385,2962
1713606345.860058,66
1713606345.865694,2962
1713606345.8657913,66
1713606345.8769298,2962
1713606345.8769486,66
1713606345.8797822,2962
1713606345.8826833,66
1713606345.8938332,2962
1713606345.8938537,66
1713606345.8938649,2962
1713606345.8995857,66
1713606345.9079578,2962
1713606345.9079757,66
1713606345.9107118,1514
1713606345.910714,2962
1713606345.9137714,66
1713606345.9220417,2962
1713606345.92256,66
1713606345.9275994,2962
1713606345.9294124,66
1713606345.9361303,2962
1713606345.9361496,66
1713606345.9502153,1514
1713606345.9529378,2962
1713606345.9529529,66
1713606345.9572566,2962
1713606345.9586928,66
1713606345.9698386,2962
1713606345.971344,2962
1713606345.9755943,66
1713606345.9771576,66
