ds,y
2024-04-11 08:38:03.400,40068
2024-04-11 08:38:03.600,0
2024-04-11 08:38:03.800,0
2024-04-11 08:38:04.000,0
2024-04-11 08:38:04.200,0
2024-04-11 08:38:04.400,726300
2024-04-11 08:38:04.600,0
2024-04-11 08:38:04.800,0
2024-04-11 08:38:05.000,0
2024-04-11 08:38:05.200,0
2024-04-11 08:38:05.400,9586540
2024-04-11 08:38:05.600,8127522
2024-04-11 08:38:05.800,8198420
2024-04-11 08:38:06.000,8229266
2024-04-11 08:38:06.200,8147172
2024-04-11 08:38:06.400,8241952
2024-04-11 08:38:06.600,8225432
2024-04-11 08:38:06.800,8014364
2024-04-11 08:38:07.000,7583642
2024-04-11 08:38:07.200,8214942
2024-04-11 08:38:07.400,7625184
2024-04-11 08:38:07.600,7909282
2024-04-11 08:38:07.800,7235126
2024-04-11 08:38:08.000,8032954
2024-04-11 08:38:08.200,8417490
2024-04-11 08:38:08.400,8653520
2024-04-11 08:38:08.600,8477224
2024-04-11 08:38:08.800,6973930
2024-04-11 08:38:09.000,8134554
2024-04-11 08:38:09.200,8632544
2024-04-11 08:38:09.400,7158940
2024-04-11 08:38:09.600,8107474
2024-04-11 08:38:09.800,7396690
2024-04-11 08:38:10.000,7773170
2024-04-11 08:38:10.200,7687896
2024-04-11 08:38:10.400,7916242
2024-04-11 08:38:10.600,8447728
2024-04-11 08:38:10.800,7745610
2024-04-11 08:38:11.000,5474110
2024-04-11 08:38:11.200,7179170
2024-04-11 08:38:11.400,8140732
2024-04-11 08:38:11.600,7518244
2024-04-11 08:38:11.800,7967696
2024-04-11 08:38:12.000,7611450
2024-04-11 08:38:12.200,7757182
2024-04-11 08:38:12.400,7667440
2024-04-11 08:38:12.600,8196196
2024-04-11 08:38:12.800,7199520
2024-04-11 08:38:13.000,6983318
2024-04-11 08:38:13.200,7728046
2024-04-11 08:38:13.400,8254894
2024-04-11 08:38:13.600,7912988
2024-04-11 08:38:13.800,7719768
2024-04-11 08:38:14.000,7671154
2024-04-11 08:38:14.200,6932142
2024-04-11 08:38:14.400,7192374
2024-04-11 08:38:14.600,8472422
2024-04-11 08:38:14.800,7979500
2024-04-11 08:38:15.000,6128138
2024-04-11 08:38:15.200,6442772
2024-04-11 08:38:15.400,7042994
2024-04-11 08:38:15.600,5610170
2024-04-11 08:38:15.800,5212012
2024-04-11 08:38:16.000,7455936
2024-04-11 08:38:16.200,8003260
2024-04-11 08:38:16.400,7950368
2024-04-11 08:38:16.600,7967098
2024-04-11 08:38:16.800,8253606
2024-04-11 08:38:17.000,6252742
2024-04-11 08:38:17.200,7905998
2024-04-11 08:38:17.400,7986602
2024-04-11 08:38:17.600,7608398
2024-04-11 08:38:17.800,8352008
2024-04-11 08:38:18.000,7417830
2024-04-11 08:38:18.200,7809996
2024-04-11 08:38:18.400,8058372
2024-04-11 08:38:18.600,7960084
2024-04-11 08:38:18.800,8331676
2024-04-11 08:38:19.000,7323634
2024-04-11 08:38:19.200,8476036
2024-04-11 08:38:19.400,8242426
2024-04-11 08:38:19.600,7274394
2024-04-11 08:38:19.800,6276194
2024-04-11 08:38:20.000,6406554
2024-04-11 08:38:20.200,8004466
2024-04-11 08:38:20.400,8229992
2024-04-11 08:38:20.600,7978326
2024-04-11 08:38:20.800,7790264
2024-04-11 08:38:21.000,6938492
2024-04-11 08:38:21.200,7752344
2024-04-11 08:38:21.400,7995414
2024-04-11 08:38:21.600,8157716
2024-04-11 08:38:21.800,8102340
2024-04-11 08:38:22.000,7548712
2024-04-11 08:38:22.200,8272510
2024-04-11 08:38:22.400,6977532
2024-04-11 08:38:22.600,8041096
2024-04-11 08:38:22.800,8200474
2024-04-11 08:38:23.000,7239614
2024-04-11 08:38:23.200,8094458
2024-04-11 08:38:23.400,8093718
2024-04-11 08:38:23.600,8166798
2024-04-11 08:38:23.800,7179648
2024-04-11 08:38:24.000,6865996
2024-04-11 08:38:24.200,8001322
2024-04-11 08:38:24.400,8182364
2024-04-11 08:38:24.600,8236512
2024-04-11 08:38:24.800,8229962
2024-04-11 08:38:25.000,7696470
2024-04-11 08:38:25.200,7610502
2024-04-11 08:38:25.400,7848714
2024-04-11 08:38:25.600,8483400
2024-04-11 08:38:25.800,8540064
2024-04-11 08:38:26.000,6966530
2024-04-11 08:38:26.200,7294358
2024-04-11 08:38:26.400,7887728
2024-04-11 08:38:26.600,7216460
2024-04-11 08:38:26.800,8269686
2024-04-11 08:38:27.000,7537124
2024-04-11 08:38:27.200,7562402
2024-04-11 08:38:27.400,7906392
2024-04-11 08:38:27.600,8109604
2024-04-11 08:38:27.800,7272538
2024-04-11 08:38:28.000,8273716
2024-04-11 08:38:28.200,7129454
2024-04-11 08:38:28.400,7835336
2024-04-11 08:38:28.600,8329486
2024-04-11 08:38:28.800,7898518
2024-04-11 08:38:29.000,8411906
2024-04-11 08:38:29.200,6247488
2024-04-11 08:38:29.400,7896560
2024-04-11 08:38:29.600,7939994
2024-04-11 08:38:29.800,8522628
2024-04-11 08:38:30.000,7982366
2024-04-11 08:38:30.200,7093364
2024-04-11 08:38:30.400,7923228
2024-04-11 08:38:30.600,6848186
2024-04-11 08:38:30.800,7689714
2024-04-11 08:38:31.000,7547304
2024-04-11 08:38:31.200,7365950
2024-04-11 08:38:31.400,7859108
2024-04-11 08:38:31.600,7810704
2024-04-11 08:38:31.800,8498336
2024-04-11 08:38:32.000,6880964
2024-04-11 08:38:32.200,7262918
2024-04-11 08:38:32.400,7929998
2024-04-11 08:38:32.600,8207274
2024-04-11 08:38:32.800,7972156
2024-04-11 08:38:33.000,7709544
2024-04-11 08:38:33.200,4301758
