ds,y
2024-04-16 15:47:45.600,17468
2024-04-16 15:47:45.800,0
2024-04-16 15:47:46.000,0
2024-04-16 15:47:46.200,0
2024-04-16 15:47:46.400,18334
2024-04-16 15:47:46.600,2467276
2024-04-16 15:47:46.800,1428062
2024-04-16 15:47:47.000,1187850
2024-04-16 15:47:47.200,1669052
2024-04-16 15:47:47.400,1190098
2024-04-16 15:47:47.600,1426694
2024-04-16 15:47:47.800,1325456
2024-04-16 15:47:48.000,1559124
2024-04-16 15:47:48.200,1650738
2024-04-16 15:47:48.400,1905354
2024-04-16 15:47:48.600,1435480
2024-04-16 15:47:48.800,1676708
2024-04-16 15:47:49.000,474702
2024-04-16 15:47:49.200,236310
2024-04-16 15:47:49.400,1666854
2024-04-16 15:47:49.600,1900540
2024-04-16 15:47:49.800,1661894
2024-04-16 15:47:50.000,1437588
2024-04-16 15:47:50.200,1664826
2024-04-16 15:47:50.400,2139764
2024-04-16 15:47:50.600,1903370
2024-04-16 15:47:50.800,1619332
2024-04-16 15:47:51.000,1724542
2024-04-16 15:47:51.200,1666016
2024-04-16 15:47:51.400,951998
2024-04-16 15:47:51.600,1668044
2024-04-16 15:47:51.800,1423120
2024-04-16 15:47:52.000,1185816
2024-04-16 15:47:52.200,1234032
2024-04-16 15:47:52.400,1636244
2024-04-16 15:47:52.600,1673196
2024-04-16 15:47:52.800,1669120
2024-04-16 15:47:53.000,1906410
2024-04-16 15:47:53.200,1816166
2024-04-16 15:47:53.400,1760116
2024-04-16 15:47:53.600,952242
2024-04-16 15:47:53.800,1665162
2024-04-16 15:47:54.000,1906310
2024-04-16 15:47:54.200,1909436
2024-04-16 15:47:54.400,1906814
2024-04-16 15:47:54.600,1896424
2024-04-16 15:47:54.800,1656360
2024-04-16 15:47:55.000,1180092
2024-04-16 15:47:55.200,1669848
2024-04-16 15:47:55.400,1903496
2024-04-16 15:47:55.600,1553676
2024-04-16 15:47:55.800,1066886
2024-04-16 15:47:56.000,1187634
2024-04-16 15:47:56.200,1433336
2024-04-16 15:47:56.400,1853900
2024-04-16 15:47:56.600,1467510
2024-04-16 15:47:56.800,1426892
2024-04-16 15:47:57.000,1907680
2024-04-16 15:47:57.200,1910190
2024-04-16 15:47:57.400,1059730
2024-04-16 15:47:57.600,2035476
2024-04-16 15:47:57.800,476404
